Name	Error	Error Squared	Length	Gap length
20080927233805	230	52900	13466	450
20081105083259	103213	7032043	5242	1850
20081109055559	21903	871109	14793	1550
20081113035731	50645	4884299	1937	1050
20081114124439	334	53004	35457	1250
20081119011305	1076	35408	7295	250
20081207161131	783	41105	3324	150
20081210075232	2194	76290	236	50
20090113112028	11817	489725	17397	550
20090117223222	230	52900	19960	650
20090131052455	3132	147310	11491	1650
20090203100159	94527	8694173	8579	1750
20090226005433	292	29798	10101	350
20090323212145	3061	28933	17228	1450
20090528211734	28125	1558997	45993	1950
20090930071934	0	0	44254	1150
20110502000104	4586	676190	25570	750
20110514111537	15	225	34968	850
20110828143340	250470	11694250	21877	1350
20111119010003	1110	7610	45335	950
